score
1700.0
2100.0
2600.0
3700.0
2300.0
2100.0
1600.0
2000.0
2300.0
2100.0
2400.0
3300.0
1600.0
2200.0
1700.0
3300.0
2800.0
1700.0
1200.0
1700.0
2900.0
2500.0
2000.0
2700.0
1500.0
3300.0
2300.0
1700.0
3000.0
700.0
2600.0
1500.0
2300.0
2100.0
1500.0
1800.0
1300.0
1400.0
1300.0
1500.0
1100.0
1600.0
1200.0
500.0
500.0
900.0
900.0
1400.0
1300.0
1400.0
700.0
800.0
2500.0
2600.0
2700.0
2500.0
1900.0
3200.0
3900.0
4400.0
3100.0
5100.0
2000.0
1700.0
3700.0
2000.0
10200.0
3600.0
2300.0
2700.0
2000.0
2200.0
2400.0
2300.0
2000.0
2300.0
2000.0
2200.0
1700.0
2100.0
1700.0
1700.0
1500.0
3000.0
3200.0
2000.0
2100.0
2500.0
2700.0
2200.0
1600.0
1900.0
3300.0
1800.0
2500.0
3800.0
2800.0
2100.0
1300.0
2400.0
1700.0
3600.0
3800.0
5900.0
3800.0
2900.0
1900.0
3100.0
4900.0
4000.0
